Description	Units	Price		
Item1		20		121
Item2		42		656
Item3		24		434
Item4		99		71
Item5		74		247
Item6		46		477
Item7		32		357
Item8		99		156
Item9		85		801
Item10		71		401
Item11		940		714
Item12		594		321
Item13		783		793
Item14		767		922
Item15		811		519
Item16		251		8
Item17		6		354
Item18		601		891
Item19		567		409
Item20		145		754
Item21		330		997
Item22		687		650
Item23		435		352
Item24		443		333
Item25		69		384
Item26		438		48
Item27		431		420
Item28		772		214
Item29		560		236
Item30		706		616
Item31		714		770
Item32		254		499
Item33		826		222
Item34		70		592
Item35		251		880
Item36		731		914
Item37		967		150
Item38		884		394
Item39		474		416
Item40		806		879
Item41		883		673
Item42		400		526
Item43		175		62
Item44		768		304
Item45		203		723
Item46		726		320
Item47		443		304
Item48		732		386
Item49		92		577
Item50		158		837
Item51		62		126
Item52		620		727
Item53		411		23
Item54		977		345
Item55		816		183
Item56		822		443
Item57		31		250
Item58		436		306
Item59		227		303
Item60		368		121
Item61		258		486
Item62		776		852
Item63		619		466
Item64		188		395
Item65		827		477
Item66		452		142
Item67		848		470
Item68		816		391
Item69		29		578
Item70		971		41
Item71		672		886
Item72		731		526
Item73		356		914
Item74		749		327
Item75		102		80
Item76		179		948
Item77		81		481
Item78		77		957
Item79		926		383
Item80		745		124
Item81		13		173
Item82		152		950
Item83		953		461
Item84		974		385
Item85		352		1000
Item86		115		351
Item87		855		13
Item88		95		103
Item89		208		795
Item90		597		136
Item91		62		362
Item92		529		724
Item93		250		929
Item94		160		210
Item95		89		487
Item96		472		787
Item97		504		65
Item98		770		547
Item99		643		466
Item100		689		111
